Teff    log g  R/Rsun  Mdot       vinf
 (K)    (cgs)        (Msun/yr)   (km/s)
47000.  4.00   11.4   1.20e-06    3074.
n = 2971

  Wavelength      Eddington flux    Continuum   Normalized spectrum
  (Angstroms)     (erg/s/cm2/Hz)  (erg/s/cm2/Hz)

  1.97820984e+03  3.28098703e-03  3.28037632e-03  1.00018609e+00
  1.97696619e+03  3.28532839e-03  3.28310067e-03  1.00067866e+00
  1.97572412e+03  3.30108451e-03  3.28582129e-03  1.00464523e+00
  1.97447961e+03  3.26855667e-03  3.28854728e-03  9.93921161e-01
  1.97323682e+03  3.29621532e-03  3.29126976e-03  1.00150275e+00
  1.97199536e+03  3.29551310e-03  3.29398876e-03  1.00046277e+00
  1.97075574e+03  3.29746935e-03  3.29670450e-03  1.00023198e+00
  1.96951746e+03  3.29973921e-03  3.29941651e-03  1.00009775e+00
  1.96827698e+03  3.30225984e-03  3.30213387e-03  1.00003815e+00
  1.96703796e+03  3.30307032e-03  3.30484775e-03  9.99462128e-01
  1.96580066e+03  3.28801619e-03  3.30755836e-03  9.94091690e-01
